Date,Radius,Location,Query,TotalResults
7/19/2015,50,"Indianapolis, IN",java,337
7/19/2015,25,"Indianapolis, IN",machine learning,39
7/19/2015,50,"Indianapolis, IN",machine learning,49
7/19/2015,25,"San Antonio, TX",C#,153
7/19/2015,50,"San Antonio, TX",C#,163
7/19/2015,25,"San Antonio, TX",C# mvc,22
7/19/2015,50,"San Antonio, TX",C# mvc,23
7/19/2015,25,"San Antonio, TX",C# mvc angular,1
7/19/2015,50,"San Antonio, TX",C# mvc angular,1
7/19/2015,25,"San Antonio, TX",angular,27
7/19/2015,50,"San Antonio, TX",angular,30
7/19/2015,25,"San Antonio, TX",scala,5
7/19/2015,50,"San Antonio, TX",scala,5
7/19/2015,25,"San Antonio, TX",python,155
7/19/2015,50,"San Antonio, TX",python,156
7/19/2015,25,"San Antonio, TX",C++,130
7/19/2015,50,"San Antonio, TX",C++,131
7/19/2015,25,"San Antonio, TX",java,272
7/19/2015,50,"San Antonio, TX",java,275
7/19/2015,25,"San Antonio, TX",machine learning,26
7/19/2015,50,"San Antonio, TX",machine learning,32
7/19/2015,25,"Cleveland, OH",C#,254
7/19/2015,50,"Cleveland, OH",C#,313
7/19/2015,25,"Cleveland, OH",C# mvc,53
7/19/2015,50,"Cleveland, OH",C# mvc,73
7/19/2015,25,"Cleveland, OH",C# mvc angular,6
7/19/2015,50,"Cleveland, OH",C# mvc angular,12
7/19/2015,25,"Cleveland, OH",angular,30
7/19/2015,50,"Cleveland, OH",angular,44
7/19/2015,25,"Cleveland, OH",scala,3
7/19/2015,50,"Cleveland, OH",scala,3
7/19/2015,25,"Cleveland, OH",python,103
7/19/2015,50,"Cleveland, OH",python,117
7/19/2015,25,"Cleveland, OH",C++,130
7/19/2015,50,"Cleveland, OH",C++,152
7/19/2015,25,"Cleveland, OH",java,348
7/19/2015,50,"Cleveland, OH",java,402
7/19/2015,25,"Cleveland, OH",machine learning,64
7/19/2015,50,"Cleveland, OH",machine learning,84
7/19/2015,25,"Milwaukee, WI",C#,185
7/19/2015,50,"Milwaukee, WI",C#,221
7/19/2015,25,"Milwaukee, WI",C# mvc,42
7/19/2015,50,"Milwaukee, WI",C# mvc,58
7/19/2015,25,"Milwaukee, WI",C# mvc angular,6
7/19/2015,50,"Milwaukee, WI",C# mvc angular,9
7/19/2015,25,"Milwaukee, WI",angular,31
7/19/2015,50,"Milwaukee, WI",angular,36
7/19/2015,25,"Milwaukee, WI",scala,2
7/19/2015,50,"Milwaukee, WI",scala,5
7/19/2015,25,"Milwaukee, WI",python,91
7/19/2015,50,"Milwaukee, WI",python,96
7/19/2015,25,"Milwaukee, WI",C++,122
7/19/2015,50,"Milwaukee, WI",C++,145
7/19/2015,25,"Milwaukee, WI",java,269
7/19/2015,50,"Milwaukee, WI",java,329
7/19/2015,25,"Milwaukee, WI",machine learning,78
7/19/2015,50,"Milwaukee, WI",machine learning,115
7/19/2015,25,"Nashville, TN",C#,218
7/19/2015,50,"Nashville, TN",C#,227
7/19/2015,25,"Nashville, TN",C# mvc,69
7/19/2015,50,"Nashville, TN",C# mvc,71
7/19/2015,25,"Nashville, TN",C# mvc angular,7
7/19/2015,50,"Nashville, TN",C# mvc angular,7
7/19/2015,25,"Nashville, TN",angular,29
7/19/2015,50,"Nashville, TN",angular,29
7/19/2015,25,"Nashville, TN",scala,7
7/19/2015,50,"Nashville, TN",scala,7
7/19/2015,25,"Nashville, TN",python,84
7/19/2015,50,"Nashville, TN",python,85
7/19/2015,25,"Nashville, TN",C++,55
7/19/2015,50,"Nashville, TN",C++,60
7/19/2015,25,"Nashville, TN",java,272
7/19/2015,50,"Nashville, TN",java,280
7/19/2015,25,"Nashville, TN",machine learning,72
7/19/2015,50,"Nashville, TN",machine learning,92
7/19/2015,25,"Cincinnati, OH",C#,191
7/19/2015,50,"Cincinnati, OH",C#,275
7/19/2015,25,"Cincinnati, OH",C# mvc,48
7/19/2015,50,"Cincinnati, OH",C# mvc,64
7/19/2015,25,"Cincinnati, OH",C# mvc angular,8
7/19/2015,50,"Cincinnati, OH",C# mvc angular,9
7/19/2015,25,"Cincinnati, OH",angular,41
7/19/2015,50,"Cincinnati, OH",angular,45
7/19/2015,25,"Cincinnati, OH",scala,3
7/19/2015,50,"Cincinnati, OH",scala,5
7/19/2015,25,"Cincinnati, OH",python,68
7/19/2015,50,"Cincinnati, OH",python,125
7/19/2015,25,"Cincinnati, OH",C++,91
7/19/2015,50,"Cincinnati, OH",C++,221
7/19/2015,25,"Cincinnati, OH",java,391
7/19/2015,50,"Cincinnati, OH",java,551
7/19/2015,25,"Cincinnati, OH",machine learning,61
7/19/2015,50,"Cincinnati, OH",machine learning,101
7/19/2015,25,"Tampa, FL",C#,418
7/19/2015,50,"Tampa, FL",C#,452
7/19/2015,25,"Tampa, FL",C# mvc,112
7/19/2015,50,"Tampa, FL",C# mvc,123
7/19/2015,25,"Tampa, FL",C# mvc angular,19
7/19/2015,50,"Tampa, FL",C# mvc angular,19
7/19/2015,25,"Tampa, FL",angular,64
7/19/2015,50,"Tampa, FL",angular,65
7/19/2015,25,"Tampa, FL",scala,13
7/19/2015,50,"Tampa, FL",scala,13
7/19/2015,25,"Tampa, FL",python,155
7/19/2015,50,"Tampa, FL",python,165
7/19/2015,25,"Tampa, FL",C++,176
7/19/2015,50,"Tampa, FL",C++,194
7/19/2015,25,"Tampa, FL",java,585
7/19/2015,50,"Tampa, FL",java,613
7/19/2015,25,"Tampa, FL",machine learning,76
7/19/2015,50,"Tampa, FL",machine learning,96
7/19/2015,25,"Portland, OR",C#,432
7/19/2015,50,"Portland, OR",C#,465
7/19/2015,25,"Portland, OR",C# mvc,117
7/19/2015,50,"Portland, OR",C# mvc,136
7/19/2015,25,"Portland, OR",C# mvc angular,16
